subject,jp,kana,meaning,hits,exams,own_hits,own_exams,stem,stem_hits,stem_exams
tekisei,潜在的,せんざいてき,"(tiềm tại đích) tiềm ẩn, tiềm tàng",7,5,7,5,,0,0
tekisei,暗黙,あんもく,"(ám mặc) ngầm, mặc nhiên",5,2,5,2,,0,0
tekisei,共著,きょうちょ,(cộng trứ) đồng tác giả,5,1,5,1,,0,0
tekisei,先進性,せんしんせい,(tiên tiến tính) tính tiên tiến,1,1,1,1,,0,0
tekisei,多大,ただい,"(đa đại) to lớn, rất nhiều",3,3,3,3,,0,0
tekisei,経緯,けいい,"(kinh vĩ) diễn biến, quá trình sự việc",2,2,2,2,,0,0
tekisei,文献,ぶんけん,"(văn hiến) tài liệu, văn liệu tham khảo",8,2,8,2,,0,0
tekisei,許諾,きょだく,"(hứa nặc) cho phép, chấp thuận",4,3,4,3,,0,0
tekisei,落とし穴,おとしあな,"cạm bẫy, lỗ hổng tiềm ẩn",1,1,1,1,,0,0
tekisei,陥る,おちいる,"(hãm) rơi vào, sa vào (tình trạng xấu)",0,0,0,0,,0,0
tekisei,促進,そくしん,"(xúc tiến) xúc tiến, thúc đẩy",51,24,15,9,,0,0
tekisei,性的指向,せいてきしこう,khuynh hướng tình dục,4,3,4,3,,0,0
kiso,製造物,せいぞうぶつ,Sản phẩm / Đồ được chế tạo,206,20,37,4,,0,0
kiso,欠陥,けっかん,Khuyết tật / Lỗi,127,29,19,7,,0,0
kiso,直列,ちょくれつ,"nối tiếp, mắc nối tiếp (điện)",18,8,18,8,,0,0
kiso,並列,へいれつ,"song song, song hành",29,11,29,11,,0,0
kiso,待ち行列長,まちぎょうれつちょう,"độ dài hàng đợi, chiều dài hàng đợi",9,3,9,3,,0,0
kiso,代入,だいにゅう,"sự thay thế, sự gán (giá trị)",40,21,27,12,,0,0
kiso,アローダイヤグラム,あろーだいやぐらむ,"sơ đồ mũi tên, sơ đồ mạng PERT (đề cũng viết アローダイアグラム)",4,3,4,3,,0,0
kiso,投じる,とうじる,"ném, quăng, bỏ vào, đầu tư, gửi gắm",2,2,2,2,,0,0
kiso,相関,そうかん,tương quan,15,5,14,4,,0,0
kiso,利得表,りとくひょう,"bảng lợi ích, bảng lợi nhuận, bảng chi phí lợi ích",1,1,1,1,,0,0
kiso,最適化,さいてきか,tối ưu hóa,16,6,14,4,,0,0
kiso,玉掛け,たまかけ,"công việc treo móc cẩu vật nặng, công việc móc cẩu hàng hóa",3,3,2,2,玉掛,2,2
kiso,摂取,せっしゅ,"hấp thụ, nạp vào, dung nạp, tiếp thu (chất dinh dưỡng, năng lượng, kiến thức, v.v.)",3,3,2,2,,0,0
kiso,絞れる,しぼれる,"có thể vắt được, có thể ép được, có thể bóp được",1,1,1,1,,0,0
kiso,2 進数,にしんすう,số nhị phân,47,11,47,11,,0,0
kiso,等価な論理式,とうかなろんりしき,biểu thức logic tương đương,4,4,4,4,,0,0
kiso,一次キャッシュ,いちじキャッシュ,bộ nhớ đệm cấp 1; cache cấp 1,5,2,5,2,,0,0
kiso,主記憶,しゅきおく,"bộ nhớ chính (của máy tính), bộ nhớ sơ cấp",20,4,20,4,,0,0
kiso,記述,きじゅつ,"miêu tả, mô tả, sự ghi chép",817,43,232,16,,0,0
kiso,流出,りゅうしゅつ,"rò rỉ, chảy ra, tiết lộ, lọt ra ngoài",69,17,5,4,,0,0
kiso,文字列,もじれつ,"chuỗi ký tự, chuỗi",7,5,7,5,,0,0
kiso,歪み,ひずみ,"sự méo mó, sự biến dạng, sự lệch lạc",3,1,3,1,,0,0
kiso,依存,いぞん,"sự phụ thuộc, sự lệ thuộc",32,21,16,10,,0,0
kiso,内挿,ないそう,nội suy,1,1,1,1,,0,0
kiso,遠方,えんぽう,"xa xôi, nơi xa, từ xa",3,3,2,2,,0,0
kiso,楕円孔,だえんこう,"lỗ hình bầu dục, lỗ elip",6,2,6,2,,0,0
kiso,熱伝導率,ねつでんどうりつ,"Hệ số dẫn nhiệt, độ dẫn nhiệt",19,3,19,3,,0,0
kiso,感覚,かんかく,"giác quan, cảm giác",63,14,63,14,,0,0
kiso,酢酸,さくさん,axit axetic,23,6,23,6,,0,0
kiso,酸性度,さんせいど,"độ axit, tính axit",21,5,21,5,,0,0
kiso,遮蔽,しゃへい,"che chắn, che đậy, chắn, làm khuất, sự che chắn",4,2,3,1,,0,0
kiso,不静定次数,ふせいていじすう,Bậc siêu tĩnh / Bậc bất định tĩnh,4,1,4,1,,0,0
kiso,関わる,かかわる,liên quan,36,16,2,2,,0,0
kiso,制約,せいやく,"ràng buộc, hạn chế",47,20,14,4,,0,0
kiso,誠実,せいじつ,thành thật,16,9,0,0,,0,0
kiso,如何なる,いかなる,"bất kỳ, bất cứ ... nào",5,5,0,0,如何,0,0
kiso,公益,こうえき,công ích,122,18,1,1,,0,0
kiso,水準,すいじゅん,"mức, trình độ, tiêu chuẩn",57,24,10,6,,0,0
kiso,領域,りょういき,lĩnh vực khu vực,53,20,27,8,,0,0
kiso,能力,のうりょく,"(năng lực) năng lực, khả năng",99,26,9,5,,0,0
kiso,福利,ふくり,phúc lợi,11,9,0,0,,0,0
kiso,背景,はいけい,bối cảnh phông nền,13,10,0,0,,0,0
kiso,異にする,ことにする,khác nhau,1,1,0,0,,0,0
kiso,多数,たすう,đa số phần đông,20,14,3,2,,0,0
kiso,散在,さんざい,"rải rác, phân tán",1,1,0,0,,0,0
kiso,世論,よろん,"dư luận, công luận",2,2,0,0,,0,0
kiso,携わる,たずさわる,"Tham gia vào, liên quan đến",14,12,2,2,,0,0
kiso,自ら,みずから,đích thân mình,69,20,8,6,,0,0
kiso,相応に,そうおうに,tương ứng,1,1,0,0,相応,0,0
kiso,安全保障貿易管理,あんぜんほしょうぼうえきかんり,quản lý an ninh thương mại,8,3,0,0,,0,0
kiso,先進国,せんしんこく,nước phát triển,26,14,9,6,,0,0
kiso,貨物,かもつ,hàng hóa,18,8,0,0,,0,0
kiso,大量破壊兵器,たいりょうはかいへいき,vũ khí hủy diệt hàng loạt,5,3,0,0,,0,0
kiso,一層,いっそう,"hơn nữa, càng thêm",2,2,1,1,,0,0
kiso,深刻,しんこく,nghiêm trọng,12,9,0,0,,0,0
kiso,人的,じんてき,thuộc về con người,8,6,0,0,,0,0
kiso,遵守,じゅんしゅ,tuân thủ,30,13,0,0,,0,0
kiso,巻き込まれる,まきこまれる,bị cuốn vào,1,1,0,0,巻き込,0,0
kiso,公知,こうち,"công khai, đã được biết đến rộng rãi",9,4,0,0,,0,0
kiso,渡航,とこう,xuất ngoại,2,1,0,0,,0,0
kiso,貧困,ひんこん,bần cùng,5,4,0,0,,0,0
kiso,終止符,しゅうしふ,dấu chấm hết,1,1,0,0,,0,0
kiso,享受,きょうじゅ,hưởng thụ,10,6,0,0,,0,0
kiso,途上国,とじょうこく,nước đang phát triển,21,14,9,8,,0,0
kiso,拘束力,こうそくりょく,tính ràng buộc,3,2,1,1,,0,0
kiso,処罰,しょばつ,xử phạt,6,3,0,0,,0,0
kiso,貧富,ひんぷ,sự giàu nghèo,1,1,0,0,,0,0
kiso,紛争,ふんそう,sự phân tranh,6,5,0,0,,0,0
kiso,難民,なんみん,dân tị nạn,2,1,0,0,,0,0
kiso,避難民,ひなんみん,người dân sơ tán,1,1,0,0,,0,0
kiso,孫,まご,cháu,4,3,1,1,,0,0
kiso,危機感,ききかん,"ý thức về nguy cơ, cảm giác khủng hoảng",1,1,0,0,,0,0
kiso,振り返る,ふりかえる,quay đầu nhìn lại,0,0,0,0,振り返,0,0
kiso,利活用,りかつよう,dùng và ứng dụng,9,4,0,0,,0,0
kiso,飛躍的,ひやくてき,bước đột phá,2,2,0,0,,0,0
kiso,信頼,しんらい,tín nhiệm,102,25,77,12,,0,0
kiso,変革,へんかく,đổi mới cải cách,5,3,0,0,,0,0
kiso,推進,すいしん,"đẩy mạnh, xúc tiến",91,30,17,8,,0,0
kiso,損害賠償,そんがいばいしょう,bồi thường tổn thất,46,19,3,3,,0,0
kiso,被る,こうむる,"chịu, gánh chịu (thiệt hại)",3,3,0,0,,0,0
kiso,事案,じあん,"vụ việc, sự vụ",11,9,1,1,,0,0
kiso,賠償請求,ばいしょうせいきゅう,yêu cầu bồi thường,7,6,0,0,,0,0
kiso,電磁鋼板,でんじこうばん,tấm thép điện từ,1,1,0,0,,0,0
kiso,差止め,さしとめ,đình chỉ,1,1,0,0,差止,0,0
kiso,基幹,きかん,điều cốt yếu,5,4,0,0,,0,0
kiso,窃取,せっしゅ,sự trộm cắp,2,2,0,0,,0,0
kiso,拡散,かくさん,khuếch tán,16,8,1,1,,0,0
kiso,態様,たいよう,"hình thái, phương thức",4,4,0,0,,0,0
kiso,製造物責任法,せいぞうぶつせきにんほう,luật trách nhiệm sản phẩm,66,20,14,4,,0,0
kiso,引き渡された,ひきわたされた,được bàn giao,7,3,0,0,引き渡,4,4
kiso,無体物,むたいぶつ,vật vô hình,3,3,0,0,,0,0
kiso,再生品,さいせいひん,tái chế phẩm,16,6,0,0,,0,0
kiso,破損,はそん,hư hại,11,7,7,4,,0,0
kiso,多様性,たようせい,tính đa dạng,71,23,25,8,,0,0
kiso,人種,じんしゅ,nhân chủng,5,3,0,0,,0,0
kiso,人材,じんざい,nhân lực,21,9,2,1,,0,0
kiso,活かし,いかし,phát huy vận dụng,6,5,0,0,,0,0
kiso,価値創造,かちそうぞう,"sáng tạo giá trị, tạo ra giá trị",2,1,0,0,,0,0
kiso,潜在的な,せんざいてきな,tiềm năng tiềm tàng,6,5,0,0,潜在的,0,0
kiso,信条,しんじょう,tín ngưỡng,3,2,0,0,,0,0
kiso,価値観,かちかん,"quan niệm giá trị, hệ giá trị",12,7,0,0,,0,0
kiso,国際安全規格,こくさいあんぜんきかく,tiêu chuẩn an toàn quốc tế,13,6,0,0,,0,0
kiso,方策,ほうさく,phương cách,29,10,0,0,,0,0
kiso,装置,そうち,trang bị,45,21,11,7,,0,0
kiso,警告,けいこく,cảnh cáo,20,3,0,0,,0,0
kiso,取扱,とりあつかい,"thao tác, xử lý, sử dụng",34,14,1,1,,0,0
kiso,制御,せいぎょ,"điều khiển, kiểm soát",17,12,7,4,,0,0
kiso,重機,じゅうき,máy công nghiệp nặng,2,1,0,0,,0,0
kiso,明白,めいはく,rõ ràng hiển nhiên,4,3,0,0,,0,0
kiso,公用語,こうようご,ngôn ngữ chính thức,3,1,0,0,,0,0
kiso,併記,へいき,"(tính ký) ghi kèm, ghi song song",2,2,0,0,,0,0
kiso,労働安全衛生法,ろうどうあんぜんえいせいほう,luật an toàn vệ sinh lao động,17,11,2,1,,0,0
kiso,労働災害,ろうどうさいがい,tai nạn lao động,13,7,0,0,,0,0
kiso,原材料,げんざいりょう,nguyên vật liệu,16,9,2,2,,0,0
kiso,情報提供者,じょうほうていきょうしゃ,nhà cung cấp thông tin,2,2,0,0,,0,0
kiso,周知,しゅうち,phổ biến (cho mọi người đều biết),5,5,2,2,,0,0
kiso,有望,ゆうぼう,có triển vọng,1,1,0,0,,0,0
kiso,見据える,みすえる,"nhìn kỹ, nhìn thẳng vào; hướng tầm nhìn tới",0,0,0,0,見据,0,0
kiso,炭素,たんそ,cacbon,94,22,76,14,,0,0
kiso,産業革命,さんぎょうかくめい,cách mạng công nghiệp,8,5,6,3,,0,0
kiso,吸収,きゅうしゅう,hấp thụ sáp nhập,31,14,11,7,,0,0
kiso,古代原生林,こだいげんせいりん,rừng nguyên sinh cổ đại,1,1,0,0,,0,0
kiso,主原料,しゅげんりょう,nguyên liệu chính,2,2,1,1,,0,0
kiso,樹木,じゅもく,"cây cối, cây thân gỗ",3,2,0,0,,0,0
kiso,温熱,おんねつ,nhiệt nóng,1,1,0,0,,0,0
kiso,冷熱,れいねつ,nhiệt lạnh,1,1,0,0,,0,0
kiso,化石燃料,かせきねんりょう,(hoá thạch nhiên liệu) nhiên liệu hoá thạch,8,5,0,0,,0,0
kiso,家畜,かちく,gia súc,1,1,0,0,,0,0
kiso,糞尿,ふんにょう,chất bài tiết,3,3,1,1,,0,0
kiso,微生物,びせいぶつ,vi sinh vật,4,4,3,3,,0,0
kiso,産業財産権制度,さんぎょうざいさんけんせいど,hệ thống quyền sở hữu công nghiệp,4,4,0,0,,0,0
kiso,取引上,とりひきじょう,giao dịch,5,5,0,0,,0,0
kiso,熟知,じゅくち,"hiểu biết hiểu rõ, làm quen",3,3,0,0,,0,0
kiso,実用新案,じつようしんあん,(thực dụng tân án) mẫu hữu ích (quyền sở hữu trí tuệ),24,12,0,0,,0,0
kiso,扱う,あつかう,"điều khiển, đối xử",17,13,2,2,,0,0
kiso,塾,じゅく,lớp học thêm,3,1,0,0,,0,0
kiso,謝罪,しゃざい,tạ lỗi xin lỗi,2,1,0,0,,0,0
kiso,照会,しょうかい,"hỏi để xác nhận, tra cứu, tham chiếu",1,1,0,0,,0,0
kiso,加盟店,かめいてん,chi nhánh được nhượng quyền,3,1,0,0,,0,0
kiso,勧誘,かんゆう,thu hút chào mời,1,1,0,0,,0,0
kiso,指針,ししん,phương châm con trỏ,33,15,1,1,,0,0
kiso,残留,ざんりゅう,đọng lại,15,10,0,0,,0,0
kiso,努める,つとめる,"nỗ lực, cố gắng",19,12,0,0,,0,0
kiso,果たす,はたす,"hoàn thành, làm tròn bổn phận",22,11,1,1,,0,0
kiso,内蔵,ないぞう,"(nội tàng) tích hợp sẵn bên trong, lắp sẵn",1,1,0,0,,0,0
kiso,探る,さぐる,"khám phá, tìm ra bằng cảm giác",1,1,0,0,,0,0
kiso,に加えて,にくわえて,"thêm vào, ngoài ra",22,14,2,1,に加,10,6
kiso,統一,とういつ,đồng nhất,7,5,0,0,,0,0
kiso,自律,じりつ,"tự giác, kỷ luật bản thân",13,8,0,0,,0,0
kiso,提訴,ていそ,kiện cáo,1,1,0,0,,0,0
kiso,サイバー,サイバー,không gian mạng,10,6,1,1,,0,0
kiso,小売店,こうりてん,cửa hàng bán lẻ,2,2,1,1,,0,0
kiso,録音再生機器,ろくおんさいせいきき,Thiết bị thu âm phát lại,1,1,1,1,,0,0
kiso,図記号,ずきごう,"(đồ ký hiệu) ký hiệu đồ họa, biểu tượng hình vẽ",1,1,1,1,,0,0
kiso,扉,とびら,cửa,5,3,4,2,,0,0
kiso,取っ手,とって,tay cầm,1,1,1,1,,0,0
kiso,取扱説明書,とりあつかいせつめいしょ,hướng dẫn sử dụng,6,3,1,1,,0,0
kiso,点字,てんじ,chữ nổi,1,1,1,1,,0,0
kiso,音声,おんせい,"âm thanh, giọng đọc",3,3,2,2,,0,0
kiso,映像,えいぞう,hình ảnh động,6,5,2,2,,0,0
kiso,信頼度,しんらいど,độ tin cậy,58,12,57,11,,0,0
kiso,平均故障間隔,へいきんこしょうかんかく,khoảng cách giữa hai lần hỏng trung bình,1,1,1,1,,0,0
kiso,修復,しゅうふく,"Tu phục, tu sửa",7,4,6,3,,0,0
kiso,定常,ていじょう,"(định thường) trạng thái ổn định, dừng",19,11,2,2,,0,0
kiso,稼働率,かどうりつ,tỉ lệ hoạt động,4,2,3,1,,0,0
kiso,棒部材,ぼうぶざい,cấu kiện thanh,14,3,14,3,,0,0
kiso,幾何学的形状,きかがくてきけいじょう,hình dáng mang tính chất hình học,1,1,1,1,,0,0
kiso,縦弾性,たてだんせい,đàn hồi dọc,8,5,8,5,,0,0
kiso,座屈荷重,ざくつかじゅう,tải trọng tới hạn,10,4,3,2,,0,0
kiso,投影法,とうえいほう,phương pháp hình chiếu,7,5,7,5,,0,0
kiso,第一角法,だいいっかくほう,phương pháp chiếu thứ nhất,5,2,5,2,,0,0
kiso,描き方,えがきかた,cách vẽ,1,1,1,1,,0,0
kiso,相違,そうい,sự khác nhau,5,4,1,1,,0,0
kiso,暗号,あんごう,"mật mã, ám hiệu",24,8,22,6,,0,0
kiso,復号,ふくごう,giải mã,8,4,8,4,,0,0
kiso,認証局,にんしょうきょく,cơ quan chứng thực (CA),3,2,3,2,,0,0
kiso,等価,とうか,"cùng giá trị, tương đương",6,5,6,5,,0,0
kiso,論理和,ろんりわ,phép toán logic OR,20,7,20,7,,0,0
kiso,論理積,ろんりせき,Phép toán logic and,23,7,23,7,,0,0
kiso,伝送,でんそう,truyền đi,48,5,48,5,,0,0
kiso,西暦年号,せいれきねんごう,năm dương lịch,12,2,12,2,,0,0
kiso,真,しん,True,44,20,35,13,,0,0
kiso,偽,ぎ,False,12,6,6,4,,0,0
kiso,演算式,えんざんしき,"công thức diễn toán, calculation",1,1,1,1,,0,0
kiso,演算子,えんざんし,toán tử,5,2,5,2,,0,0
kiso,記法,きほう,"ký pháp, cách ghi (notation)",32,4,32,4,,0,0
kiso,構文木,こうぶんぎ,(cấu văn mộc) cây cú pháp,1,1,1,1,,0,0
kiso,優先順,ゆうせんじゅん,(ưu tiên thuận) thứ tự ưu tiên,26,13,2,2,,0,0
kiso,走査,そうさ,"(tẩu tra) quét, duyệt",1,1,1,1,,0,0
kiso,漸近的,ぜんきんてき,(tiệm cận đích) có tính tiệm cận,3,2,3,2,,0,0
kiso,定義域,ていぎいき,(định nghĩa vực) miền xác định,1,1,1,1,,0,0
kiso,値域,ちいき,(trị vực) miền giá trị,1,1,1,1,,0,0
kiso,関数,かんすう,(quan số) hàm số,80,22,65,14,,0,0
kiso,整数,せいすう,(chỉnh số) số nguyên,28,8,28,8,,0,0
kiso,解析,かいせき,"(giải tích) phân tích, giải tích",77,29,50,16,,0,0
kiso,直交座標,ちょっこうざひょう,(trực giao tọa tiêu) tọa độ vuông góc (Descartes),9,7,9,7,,0,0
kiso,任意,にんい,"(nhậm ý) tùy ý, bất kỳ",19,13,13,7,,0,0
kiso,実数,じっすう,(thực số) số thực,19,7,19,7,,0,0
kiso,積分,せきぶん,(tích phân) tích phân,23,8,19,6,,0,0
kiso,恒等的,こうとうてき,"(hằng đẳng) mang tính đồng nhất, luôn luôn đúng",1,1,1,1,,0,0
kiso,線形弾性体,せんけいだんせいたい,(tuyến hình đàn tính thể) vật thể đàn hồi tuyến tính,12,7,12,7,,0,0
kiso,２次元,にじげん,"(nhị thứ nguyên) hai chiều, 2D",0,0,0,0,,0,0
kiso,有限要素解析,ゆうげんようそかいせき,(hữu hạn yếu tố giải tích) phân tích phần tử hữu hạn (FEA),10,4,10,4,,0,0
kiso,節点,せってん,"(tiết điểm) nút, điểm nút (trong FEM, kết cấu)",8,5,5,2,,0,0
kiso,四辺形,しへんけい,"(tứ biên hình) tứ giác, hình bốn cạnh",2,1,2,1,,0,0
kiso,有限要素,ゆうげんようそ,(hữu hạn yếu tố) phần tử hữu hạn,19,12,19,12,,0,0
kiso,断面積,だんめんせき,(đoạn diện tích) diện tích mặt cắt ngang,58,21,23,11,,0,0
kiso,固定壁,こていへき,"(cố định bích) tường cố định, vách ngàm",1,1,1,1,,0,0
kiso,引張,ひっぱり,"(dẫn trương) kéo, lực kéo (ứng suất kéo)",93,22,57,12,,0,0
kiso,上端,じょうたん,"(thượng đoan) đầu trên, mép trên",7,4,7,4,,0,0
kiso,下端,かたん,"(hạ đoan) đầu dưới, mép dưới",6,5,4,3,,0,0
kiso,平衡,へいこう,(bình hành) cân bằng,6,5,2,1,,0,0
kiso,質点,しつてん,(chất điểm) chất điểm,31,6,31,6,,0,0
kiso,静止,せいし,"(tĩnh chỉ) đứng yên, tĩnh",9,7,3,3,,0,0
kiso,単振動,たんしんどう,(đơn chấn động) dao động điều hòa đơn,6,3,6,3,,0,0
kiso,蓄える,たくわえる,"tích trữ, dự trữ (năng lượng...)",0,0,0,0,,0,0
kiso,重力加速度,じゅうりょくかそくど,(trọng lực gia tốc độ) gia tốc trọng trường,13,12,3,3,,0,0
kiso,半径,はんけい,(bán kính) bán kính,27,15,3,3,,0,0
kiso,面密度,めんみつど,"(diện mật độ) mật độ mặt, khối lượng trên đơn vị diện tích",1,1,1,1,,0,0
kiso,四分円,しぶんえん,"(tứ phân viên) một phần tư hình tròn, cung phần tư",1,1,1,1,,0,0
kiso,同位体,どういたい,(đồng vị thể) đồng vị,17,6,17,6,,0,0
kiso,陽子,ようし,(dương tử) proton,7,3,7,3,,0,0
kiso,原子核,げんしかく,(nguyên tử hạch) hạt nhân nguyên tử,7,5,7,5,,0,0
kiso,年代測定,ねんだいそくてい,"(niên đại trắc định) định tuổi, xác định niên đại",2,2,2,2,,0,0
kiso,酸化還元反応,さんかかんげんはんのう,(toan hóa hoàn nguyên phản ứng) phản ứng oxi hóa - khử,2,1,2,1,,0,0
kiso,製錬,せいれん,"(chế luyện) luyện kim, tinh luyện quặng",2,1,2,1,,0,0
kiso,地殻,ちかく,(địa xác) vỏ Trái Đất,5,5,4,4,,0,0
kiso,鉄鉱石,てっこうせき,(thiết khoáng thạch) quặng sắt,8,2,8,2,,0,0
kiso,石灰石,せっかいせき,(thạch hôi thạch) đá vôi,1,1,1,1,,0,0
kiso,銑鉄,せんてつ,(tiển thiết) gang (sắt thô từ lò cao),3,1,3,1,,0,0
kiso,不純物,ふじゅんぶつ,(bất thuần vật) tạp chất,4,4,3,3,,0,0
kiso,高炉,こうろ,(cao lô) lò cao (luyện gang),17,5,4,1,,0,0
kiso,電炉,でんろ,(điện lô) lò điện (luyện thép),3,1,3,1,,0,0
kiso,特殊,とくしゅ,"(đặc thù) đặc biệt, đặc thù",9,9,5,5,,0,0
kiso,加水分解,かすいぶんかい,(gia thủy phân giải) sự thủy phân,6,5,6,5,,0,0
kiso,側鎖,そくさ,(trắc tỏa) mạch nhánh (hóa học),13,6,13,6,,0,0
kiso,基,き,"(cơ) gốc, nhóm (hóa học); nền tảng",768,43,269,16,,0,0
kiso,脂肪族炭化水素,しぼうぞくたんかすいそ,(chi phương tộc thán hóa thủy tố) hydrocacbon béo (mạch hở),3,3,3,3,,0,0
kiso,芳香族,ほうこうぞく,"(phương hương tộc) (hợp chất) thơm, aromatic",3,3,3,3,,0,0
kiso,共有結合,きょうゆうけつごう,(cộng hữu kết hợp) liên kết cộng hóa trị,14,5,14,5,,0,0
kiso,親水,しんすい,"(thân thủy) ưa nước, háo nước",7,3,7,3,,0,0
kiso,硫黄,いおう,(lưu hoàng) lưu huỳnh,15,7,14,6,,0,0
kiso,窒素,ちっそ,(trất tố) nitơ,27,11,20,8,,0,0
kiso,突然変異,とつぜんへんい,(đột nhiên biến dị) đột biến,12,1,12,1,,0,0
kiso,形質発現,けいしつはつげん,(hình chất phát hiện) sự biểu hiện tính trạng,1,1,1,1,,0,0
kiso,置換,ちかん,"(trí hoán) sự thay thế, thế chỗ",8,3,8,3,,0,0
kiso,欠失,けっしつ,(khuyết thất) sự mất đoạn (gen),3,1,3,1,,0,0
kiso,中立,ちゅうりつ,"(trung lập) trung lập, trung tính",9,5,2,2,,0,0
kiso,読み枠,よみわく,khung đọc (mã di truyền),1,1,1,1,,0,0
kiso,鎌状,かまじょう,(liêm trạng) hình lưỡi liềm,1,1,1,1,,0,0
kiso,赤血球貧血症,せっけっきゅうひんけつしょう,(xích huyết cầu bần huyết chứng) bệnh thiếu máu hồng cầu,1,1,1,1,,0,0
kiso,潜性,せんせい,(tiềm tính) tính lặn (di truyền),1,1,1,1,,0,0
kiso,劣性,れっせい,(liệt tính) tính lặn (cách gọi cũ của 潜性),1,1,1,1,,0,0
kiso,相同染色体,そうどうせんしょくたい,(tương đồng nhiễm sắc thể) nhiễm sắc thể tương đồng,3,1,3,1,,0,0
kiso,片方,かたほう,"(phiến phương) một bên, một phía (trong cặp)",3,3,2,2,,0,0
kiso,主体,しゅたい,(chủ thể) chủ thể; thành phần chủ yếu,36,18,4,4,,0,0
kiso,賄う,まかなう,"trang trải, đáp ứng (chi phí, nhu cầu)",2,2,1,1,,0,0
kiso,総裁,そうさい,"(tổng tài) thống đốc, tổng giám đốc (ngân hàng trung ương...)",1,1,1,1,,0,0
kiso,財務大臣,ざいむだいじん,(tài vụ đại thần) Bộ trưởng Tài chính,1,1,1,1,,0,0
kiso,金融,きんゆう,"(kim dung) tài chính, tiền tệ",4,4,1,1,,0,0
kiso,支援,しえん,"(chi viện) hỗ trợ, trợ giúp",21,14,5,4,,0,0
kiso,焼却,しょうきゃく,"(thiêu khước) sự thiêu đốt, đốt rác",4,4,4,4,,0,0
kiso,炉内,ろない,(lô nội) bên trong lò,2,2,2,2,,0,0
kiso,滞留,たいりゅう,"(trệ lưu) ứ đọng, lưu lại",5,5,2,2,,0,0
kiso,急冷,きゅうれい,(cấp lãnh) làm nguội nhanh,2,2,2,2,,0,0
kiso,屋上緑化,おくじょうりょくか,(ốc thượng lục hóa) phủ xanh mái nhà,1,1,1,1,,0,0
kiso,居室,きょしつ,"(cư thất) phòng ở, phòng sinh hoạt",2,2,2,2,,0,0
kiso,遮水工,しゃすいこう,"(già thủy công) công trình chống thấm, lớp chắn nước",3,3,2,2,,0,0
kiso,原位置浄化,げんいちじょうか,(nguyên vị trí tịnh hóa) xử lý làm sạch tại chỗ (đất ô nhiễm),1,1,1,1,,0,0
kiso,活性汚泥法,かっせいおでいほう,(hoạt tính ô nê pháp) phương pháp bùn hoạt tính,2,2,2,2,,0,0
kiso,換算,かんさん,"(hoán toán) quy đổi, đổi đơn vị",16,7,13,5,,0,0
kiso,原子核分裂,げんしかくぶんれつ,(nguyên tử hạch phân liệt) phân hạch hạt nhân,4,4,4,4,,0,0
kiso,電磁波,でんじは,(điện từ ba) sóng điện từ,6,5,6,5,,0,0
kiso,蒸気機関,じょうききかん,(chưng khí cơ quan) động cơ hơi nước,12,8,12,8,,0,0
kiso,順不同,じゅんふどう,(thuận bất đồng) không theo thứ tự,2,2,2,2,,0,0
kiso,双方向,そうほうこう,"(song phương hướng) hai chiều, tương tác hai chiều",6,6,4,4,,0,0
kiso,先駆け,さきがけ,"(tiên khu) đi đầu, tiên phong, mở đầu",2,2,2,2,先駆,2,2
kiso,復興,ふっこう,"(phục hưng) phục hồi, tái thiết (sau thiên tai)",5,4,2,2,,0,0
kiso,環境保全,かんきょうほぜん,(hoàn cảnh bảo toàn) bảo vệ môi trường,25,16,12,7,,0,0
kiso,対策技術,たいさくぎじゅつ,"(đối sách kỹ thuật) công nghệ đối phó, kỹ thuật xử lý",3,2,3,2,,0,0
kiso,焼却施設,しょうきゃくしせつ,(thiêu khước thi thiết) cơ sở đốt rác,2,2,2,2,,0,0
kiso,滞留時間確保,たいりゅうじかんかくほ,(trệ lưu thời gian xác bảo) đảm bảo thời gian lưu,2,2,2,2,,0,0
kiso,完全燃焼,かんぜんねんしょう,(hoàn toàn nhiên thiêu) cháy hoàn toàn,7,6,7,6,,0,0
kiso,再合成,さいごうせい,(tái hợp thành) tái tổng hợp,2,2,2,2,,0,0
kiso,排ガス,はいガス,(bài) khí thải,2,2,2,2,,0,0
kiso,壁面,へきめん,(bích diện) bề mặt tường,21,7,2,2,,0,0
kiso,建物表面温度,たてものひょうめんおんど,(kiến vật biểu diện ôn độ) nhiệt độ bề mặt công trình,2,2,2,2,,0,0
kiso,抑える,おさえる,"Kìm nén, hạn chế",14,12,4,3,,0,0
kiso,居室内,きょしつない,(cư thất nội) trong phòng ở,2,2,2,2,,0,0
kiso,侵入,しんにゅう,"(xâm nhập) xâm nhập, lọt vào",11,8,2,2,,0,0
kiso,空調,くうちょう,(không điều) điều hòa không khí,2,2,2,2,,0,0
kiso,消費,しょうひ,"(tiêu phí) tiêu thụ, tiêu dùng",176,35,72,14,,0,0
kiso,削減,さくげん,(tước giảm) cắt giảm,66,21,25,9,,0,0
kiso,産業廃棄物,さんぎょうはいきぶつ,(sản nghiệp phế khí vật) chất thải công nghiệp,15,10,10,7,,0,0
kiso,管理型処分場,かんりがたしょぶんじょう,(quản lý hình xử phân trường) bãi chôn lấp kiểu quản lý (có lớp chắn nước),2,2,2,2,,0,0
